"DATE","TIME PERIOD","Current account balance (BPS.M.N.AT.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.BE.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.BG.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.DE.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.EE.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.FI.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.FR.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.GR.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.IT.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.LT.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.LU.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.LV.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.MT.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.PT.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.SI.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.SK.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance, calendar and seasonally adjusted (BPS.M.Y.I10.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)"
"1984-12-31","1984Dec","","","","3075.000"
"1985-01-31","1985Jan","","","","708.000"
"1985-02-28","1985Feb","","","","1995.000"
"1985-03-31","1985Mar","","","","2204.000"
"1985-04-30","1985Apr","","","","2346.000"
"1985-05-31","1985May","","","","3171.000"
"1985-06-30","1985Jun","","","","833.000"
"1985-07-31","1985Jul","","","","1718.000"
"1985-08-31","1985Aug","","","","-621.000"
"1985-09-30","1985Sep","","","","2811.000"
"1985-10-31","1985Oct","","","","3355.000"
"1985-11-30","1985Nov","","","","3558.000"
"1985-12-31","1985Dec","","","","4197.000"
"1986-01-31","1986Jan","","","","2751.000"
"1986-02-28","1986Feb","","","","3576.000"
"1986-03-31","1986Mar","","","","2997.000"
"1986-04-30","1986Apr","","","","4301.000"
"1986-05-31","1986May","","","","3406.000"
"1986-06-30","1986Jun","","","","2429.000"
"1986-07-31","1986Jul","","","","3058.000"
"1986-08-31","1986Aug","","","","1985.000"
"1986-09-30","1986Sep","","","","3644.000"
"1986-10-31","1986Oct","","","","4293.000"
"1986-11-30","1986Nov","","","","4847.000"
"1986-12-31","1986Dec","","","","4716.000"
"1987-01-31","1987Jan","","","","2660.000"
"1987-02-28","1987Feb","","","","3351.000"
"1987-03-31","1987Mar","","","","4770.000"
"1987-04-30","1987Apr","","","","3571.000"
"1987-05-31","1987May","","","","3948.000"
"1987-06-30","1987Jun","","","","2497.000"
"1987-07-31","1987Jul","","","","1850.000"
"1987-08-31","1987Aug","","","","517.000"
"1987-09-30","1987Sep","","","","3786.000"
"1987-10-31","1987Oct","","","","3508.000"
"1987-11-30","1987Nov","","","","4693.000"
"1987-12-31","1987Dec","","","","4835.000"
"1988-01-31","1988Jan","","","","3487.000"
"1988-02-29","1988Feb","","","","2836.000"
"1988-03-31","1988Mar","","","","3477.000"
"1988-04-30","1988Apr","","","","4698.000"
"1988-05-31","1988May","","","","3926.000"
"1988-06-30","1988Jun","","","","5268.000"
"1988-07-31","1988Jul","","","","2884.000"
